Nombre de imagen,PID,Nombre de sesi�n,N�m. de sesi�n,Uso de memoria,Estado,Nombre de usuario,Tiempo de CPU,T�tulo de ventana
opera.exe,304,Console,4,20.212 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:00,N/D
opera.exe,22124,Console,4,101.956 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:00,N/D
opera.exe,20204,Console,4,100.716 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:00,N/D
opera.exe,18480,Console,4,103.064 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:00,N/D
opera.exe,22312,Console,4,142.564 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:14,N/D
opera.exe,9528,Console,4,126.704 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:02,N/D
opera.exe,23620,Console,4,135.256 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:02,N/D
opera.exe,24268,Console,4,123.060 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:07,N/D
opera.exe,23872,Console,4,22.456 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:00,N/D
opera.exe,12828,Console,4,100.036 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:00,N/D
opera.exe,23216,Console,4,105.156 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:00,N/D
opera.exe,15396,Console,4,124.312 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:03,N/D
CompPkgSrv.exe,25232,Console,4,8.652 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:00,N/D
opera.exe,1408,Console,4,208.836 KB,Unknown,DESKTOP-5I5ARKU\josga,0:03:09,N/D
opera.exe,17016,Console,4,122.912 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:00,N/D
opera.exe,2092,Console,4,439.744 KB,Unknown,DESKTOP-5I5ARKU\josga,0:12:58,N/D
opera.exe,10980,Console,4,201.420 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:08,N/D
opera.exe,14020,Console,4,156.564 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:04,N/D
opera.exe,13332,Console,4,138.668 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:03,N/D
opera.exe,13236,Console,4,105.768 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:00,N/D
opera.exe,23268,Console,4,131.476 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:08,N/D
opera.exe,19044,Console,4,122.336 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:01,N/D
opera.exe,19280,Console,4,161.388 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:06,N/D
opera.exe,3952,Console,4,171.248 KB,Unknown,DESKTOP-5I5ARKU\josga,0:00:11,N/D
