"Nombre de imagen","PID","Nombre de sesi�n","N�m. de sesi�n","Uso de memoria","Estado","Nombre de usuario","Tiempo de CPU","T�tulo de ventana"
"opera.exe","15540","Console","2","184.232 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:06","N/D"
"opera.exe","6944","Console","2","213.756 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:07","N/D"
"opera.exe","3312","Console","2","174.072 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:11","N/D"
"opera.exe","16856","Console","2","128.188 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:03","N/D"
"opera.exe","18484","Console","2","145.756 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:11","N/D"
"opera.exe","11896","Console","2","138.648 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:03","N/D"
"opera.exe","1100","Console","2","146.376 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:04","N/D"
"opera.exe","2472","Console","2","121.184 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:01","N/D"
"opera.exe","12492","Console","2","130.364 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:03","N/D"
"opera.exe","18120","Console","2","325.900 KB","Unknown","DESKTOP-5I5ARKU\josga","0:04:20","N/D"
"SearchApp.exe","8324","Console","2","180.564 KB","Running","DESKTOP-5I5ARKU\josga","0:00:01","Noticias e intereses"
"jucheck.exe","8952","Console","2","15.372 KB","Running","DESKTOP-5I5ARKU\josga","0:00:00","JavaUpdate SysTray Icon"
"Microsoft.Photos.exe","20152","Console","2","1.476 KB","Running","DESKTOP-5I5ARKU\josga","0:00:00","OleMainThreadWndName"
"RuntimeBroker.exe","3404","Console","2","27.120 KB","Running","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"opera.exe","4664","Console","2","189.700 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:23","N/D"
"opera.exe","21956","Console","2","106.128 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"opera.exe","17240","Console","2","158.948 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:02","N/D"
"opera.exe","14612","Console","2","166.348 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:04","N/D"
"svchost.exe","7144","Services","0","6.728 KB","Unknown","N/D","0:00:00","N/D"
"Taskmgr.exe","10264","Console","2","57.168 KB","Running","DESKTOP-5I5ARKU\josga","0:00:02","Administrador de tareas"
"opera.exe","21984","Console","2","113.420 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"CalculatorApp.exe","14308","Console","2","12.752 KB","Running","DESKTOP-5I5ARKU\josga","0:00:00","Calculadora"
"RuntimeBroker.exe","20712","Console","2","7.328 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"opera.exe","22632","Console","2","35.400 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"WmiPrvSE.exe","11152","Services","0","11.580 KB","Unknown","N/D","0:00:00","N/D"
"java.exe","5940","Console","2","34.444 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"conhost.exe","22000","Console","2","11.000 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"tasklist.exe","8632","Console","2","10.580 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
"conhost.exe","22360","Console","2","10.876 KB","Unknown","DESKTOP-5I5ARKU\josga","0:00:00","N/D"
